execution_id,project,fault_id,baseline_tag,fault_commit,workflow,expected_detector,expected_stage,observed_detector,observed_stage,workflow_status,duration_seconds,outcome,coverage_percent,evidence_url,notes
2026-08-22-V2-PY-014-02,python,V2-PY-014,baseline-ci-v2-security-rebuilt-20260822,2b19e05,CI - ETL Python,pytest,Executar testes unitários e de integração,nenhum,nenhuma,success,72,false_negative,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/32601641660/job/97100700776,"Repetição causal na baseline v2 reconstruída (b80ccfa), que preserva todos os checks v2 e atualiza apenas pip para 26.2. A confirmação independente mostrou que a segunda chamada de ensure_base_structure falha; todos os 17 passos do CI, incluindo testes unitários e integração, passaram. A suíte não cobre a reexecução/idempotência. PR #63 fechada sem merge."
2026-08-22-V2-PY-013-01,python,V2-PY-013,baseline-ci-v2,bf8d930,CI - ETL Python,pytest,Executar testes de integração,pytest,Executar testes unitários e de integração,failure,55,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/32599738569/job/97096121073,"A criação do bucket foi removida do minio-init. Após reset local, bootstrap concluiu sem bucket e o teste MinIO falhou com NoSuchBucket; a CI confirmou a falha. PR #60 fechada sem merge."
2026-08-16-V2-PY-012-01,python,V2-PY-012,baseline-ci-v2,bb818d7,CI - ETL Python,pytest,Executar testes de integração,pytest,Executar testes unitários e de integração,failure,61,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/31972115600/job/95226036801,"O cliente apontou para etl-python-v2-inexistente. A integração local falhou com NoSuchBucket e a CI falhou na etapa de testes. PR #59 fechada sem merge."
2026-08-16-V2-PY-011-01,python,V2-PY-011,baseline-ci-v2,812f04f,CI - ETL Python,pytest,Executar testes de integração,pytest,Executar testes unitários e de integração,failure,62,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/31971752087/job/95225165637,"A publicação foi redirecionada a raw_v2_inexistente. A integração local falhou com InvalidSchemaName e a CI falhou na etapa de testes. PR #58 fechada sem merge."
2026-08-16-V2-PY-010-01,python,V2-PY-010,baseline-ci-v2,b26a5a9,CI - ETL Python,pytest-cov,Executar testes unitários,"CI agregou cobertura e não bloqueou",Executar testes unitários e de integração,success,91,false_negative,94.66,https://github.com/GregoryPierroti/tcc_ci/actions/runs/31971338309/job/95224158293,"O gate unitário local falhou com 94,66% após caminho não exercitado, mas a CI passou em 1m31. A etapa remota agrega unitários e integração, elevando a cobertura e mascarando a queda unitária. PR #57 fechada sem merge."
2026-08-16-V2-PY-009-01,python,V2-PY-009,baseline-ci-v2,48d383e,CI - ETL Python,pytest com Hypothesis,Executar testes unitários,pytest com Hypothesis,Executar testes unitários e de integração,failure,39,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/31970626859/job/95222437035,"A remoção de strip() preservou espaços externos. Hypothesis gerou o contraexemplo mínimo ' ' localmente; quatro testes falharam. CI remota falhou na etapa de testes. PR #56 fechada sem merge."
2026-08-16-V2-PY-008-01,python,V2-PY-008,baseline-ci-v2,16006c1,CI - ETL Python,pytest,Executar testes unitários,pytest,Executar testes unitários e de integração,failure,37,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/31970020033/job/95220923429,"A troca de upper() por lower() fez três testes unitários de normalização falharem localmente e na CI. Checks estáticos anteriores passaram. O upload SBOM sem arquivo é secundário. PR #55 fechada sem merge."
2026-08-16-V2-PY-007-01,python,V2-PY-007,baseline-ci-v2,bf7a1b5,CI - ETL Python,import-linter,Verificar fronteiras de arquitetura,import-linter,Verificar fronteiras de arquitetura,failure,38,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/31969236987/job/95218929583,"O adaptador utils.s3_client importou pipeline.ingestao_raw; Ruff, mypy e pydocstringformatter passaram. Import-linter detectou a fronteira proibida localmente e na CI. Artefatos posteriores sem geração são secundários. PR #54 fechada sem merge."
2026-08-16-V2-PY-006-01,python,V2-PY-006,baseline-ci-v2,c9d085c,CI - ETL Python,Vulture,Verificar código morto,"Vulture reportou 60% local; CI não bloqueou",Verificar código morto,success,64,false_negative,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/31969030514/job/95218444493,"A função privada sem referência foi listada pelo Vulture local somente com 60% de confiança. O check configurado com --min-confidence 100 não a reportou e a CI passou inclusive na etapa de código morto. A hipótese prevista de detecção não se confirmou por incompatibilidade entre mutação e limiar. PR #53 fechada sem merge."
2026-08-16-V2-PY-005-01,python,V2-PY-005,baseline-ci-v2,0712863,CI - ETL Python,Radon,Medir complexidade,Radon reportou C (14) sem bloquear,Medir complexidade,success,63,false_negative,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/31968407162/job/95216976005,"A confirmação local listou processar_categoria como C (14). A mutação foi ajustada para 12 branches, pois uma versão com 13 era bloqueada antes por Ruff PLR0912; formatação, lint, tipos e docstrings passaram. A CI remota passou inclusive Medir complexidade, pois radon cc . -n B -s apenas reporta o limiar. PR #52 fechada sem merge."
2026-08-16-V2-PY-004-01,python,V2-PY-004,baseline-ci-v2,cd7d5f9,CI - ETL Python,pydocstringformatter,Verificar docstrings,pydocstringformatter,Verificar docstrings,failure,18,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/31967289415/job/95214285106,"O espaço interno excedente na docstring foi detectado pelo pydocstringformatter depois de Ruff format aprovar o arquivo. A confirmação local mostrou o diff de normalização. Uploads JUnit e SBOM falharam depois por ausência de artefatos após interrupção precoce; não são detectores causais. PR #51 fechado sem merge."
2026-08-16-V2-PY-003-02,python,V2-PY-003,baseline-ci-v2,3a409c4,CI - ETL Python,mypy,Verificar tipos,mypy,Verificar tipos,failure,15,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/31966906969/job/95213358676,"Repetição isolada: PostgresUploader permaneceu em uso e uma porta adicional RepositorioDataFrame recebeu str. Ruff passou; mypy detectou a incompatibilidade na etapa prevista. Uploads sem artefatos são secundários. PR #50 fechado sem merge."
2026-08-16-V2-PY-003-01,python,V2-PY-003,baseline-ci-v2,4434876,CI - ETL Python,mypy,Verificar tipos,Ruff F401,Executar lint,failure,15,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/31966471627/job/95212280357,"A atribuição de str à porta RepositorioDataFrame foi confirmada pelo mypy localmente, mas a CI encontrou antes o import PostgresUploader não usado após a substituição. Ruff F401 é causal e precedente; a hipótese do catálogo permanece preservada e será repetida com atribuição adicional que mantém o import em uso. Uploads sem artefatos são secundários. PR #49 fechado sem merge."
2026-08-16-V2-PY-002-01,python,V2-PY-002,baseline-ci-v2,752cbc4,CI - ETL Python,Ruff F821,Executar lint,Ruff F821,Executar lint,failure,16,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/31966111730/job/95211420181,"A referência a identificador_v2_inexistente em processar_categoria produziu F821 na linha mutada. A confirmação local e a CI remota coincidiram. Uploads JUnit e SBOM falharam depois por ausência de artefatos causada pela interrupção precoce; não são detectores causais. PR #48 fechado sem merge."
2026-08-16-V2-PY-001-01,python,V2-PY-001,baseline-ci-v2,c824c3f,CI - ETL Python,Ruff format,Verificar formatação,Ruff format,Verificar formatação,failure,16,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/31965898512/job/95210911222,"A remoção de uma linha em branco antes de classe local fez Ruff format indicar tests/test_orquestracao_unitaria.py. A confirmação local reproduziu a mesma falha. Uploads JUnit e SBOM também falharam após o encerramento precoce por não haver arquivos gerados; não são o detector causal. PR #47 fechado sem merge."
2026-07-26-DBT-001-01,dbt,DBT-001,baseline-ci-v1,f3c41e8,CI - ETL dbt,dbt parse,Validar estrutura do projeto dbt,SQLFluff,Executar lint SQL,failure,57,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/30214012498/job/89824910264,"A vírgula removida tornou segmento um alias implícito de cnpj; SQLFluff detectou AL02 antes de dbt parse. A reprodução local confirmou lint com falha e parse/compile aprovados."
2026-07-26-DBT-002-02,dbt,DBT-002,baseline-ci-v1,115f196,CI - ETL dbt,dbt parse,Validar estrutura do projeto dbt,SQLFluff com templater dbt,Executar lint SQL,failure,67,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/30215751284/job/89829541938,"Repetição após revalidação basal: o templater detectou a ref modelo_inexistente durante o lint, antes de dbt parse."
2026-07-26-DBT-003-03,dbt,DBT-003,baseline-ci-v1,44fad2c,CI - ETL dbt,teste not_null,Executar dbt build e testes,teste not_null_mod_final_cnpj,Executar dbt build e testes,failure,73,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/30216095832/job/89830442624,"Lint, parse e compile passaram; dbt build materializou o modelo e o teste not_null encontrou um cnpj nulo. A mutação usa cast(null as text) para preservar o estilo do SQL."
2026-07-26-DBT-004-01,dbt,DBT-004,baseline-ci-v1,5bc9672,CI - ETL dbt,teste unique,Executar dbt build e testes,teste unique_mod_empregados_employer_sk,Executar dbt build e testes,failure,67,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/30216297477/job/89830987136,"union all duplicou employer_sk; o teste unique encontrou 39 duplicidades."
2026-07-26-DBT-005-01,dbt,DBT-005,baseline-ci-v1,e8c798d,CI - ETL dbt,teste singular baseline_counts,Executar dbt build e testes,teste baseline_counts,Executar dbt build e testes,failure,82,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/30216404687/job/89831275795,"left join produziu 327 linhas em mod_final, em vez da cardinalidade basal de 1."
2026-07-26-PY-001-01,python,PY-001,baseline-ci-v1,ab131f8,CI - ETL Python,Ruff,Executar lint,Ruff format,Verificar formatação,failure,22,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/30210864872/job/89816729662,"Erro de sintaxe confirmado; o formatador detectou a mutação antes da etapa de lint."
2026-07-26-PY-002-01,python,PY-002,baseline-ci-v1,321e06e,CI - ETL Python,pytest,Executar testes determinísticos,pytest,Executar testes determinísticos,failure,20,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/30211005205/job/89817091703,"Formatação e lint passaram; dois testes de normalização falharam como esperado."
2026-07-26-PY-003-01,python,PY-003,baseline-ci-v1,667a3c1,CI - ETL Python,pytest,Executar testes determinísticos,pytest,Executar testes determinísticos,failure,18,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/30211344726/job/89817976078,"Formatação e lint passaram; o teste de delivery detectou o join vazio e a ausência de publicação."
2026-07-26-PY-004-01,python,PY-004,baseline-ci-v1,20d5667,CI - ETL Python,pytest,Executar testes determinísticos,pytest,Executar testes determinísticos,failure,22,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/30211508683/job/89818405968,"Formatação e lint passaram; o teste de delivery falhou com KeyError para a coluna Nome inexistente."
2026-07-26-PY-005-01,python,PY-005,baseline-ci-v1,6e047c7,CI - ETL Python,validação do lockfile pelo uv,Verificar formatação,validação do lockfile pelo uv,Verificar formatação,failure,8,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/30211897464/job/89819425209,"A imagem bloqueou em uv sync --frozen antes de Ruff devido à wheel inconsistente no lockfile."
2026-07-26-SP-001-01,pyspark,SP-001,baseline-ci-v1,829fe4d,CI - ETL PySpark,pytest,Executar testes Spark determinísticos,pytest,Executar testes Spark determinísticos,failure,73,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/30212281142/job/89820424900,"Formatação e lint passaram; o teste Spark de normalização falhou como esperado."
2026-07-26-SP-002-01,pyspark,SP-002,baseline-ci-v1,9fa1668,CI - ETL PySpark,pytest,Executar testes Spark determinísticos,pytest,Executar testes Spark determinísticos,failure,62,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/30212818138/job/89821827072,"Formatação e lint passaram; teste Spark falhou por coluna Nome_inexistente não resolvida."
2026-07-26-SP-003-01,pyspark,SP-003,baseline-ci-v1,47b9317,CI - ETL PySpark,execucao integral e validacao de dados,fora da CI basal,nenhum,nenhuma,success,49,false_negative,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/30213260596/job/89822955626,"A CI basal passou; a execução integral revelou 0 linhas de delivery, em vez das 154 esperadas, após CNPJ ser lido como DoubleType."
2026-07-26-SP-004-01,pyspark,SP-004,baseline-ci-v1,7cda167,CI - ETL PySpark,execucao integral e validacao de contagem,fora da CI basal,nenhum,nenhuma,success,55,false_negative,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/30213461015/job/89823484119,"A CI basal passou; a execução integral produziu 1589 linhas de delivery, em vez das 154 esperadas, com join left."
2026-07-26-SP-005-01,pyspark,SP-005,baseline-ci-v1,af7ec93,CI - ETL PySpark,validação do lockfile pelo uv,Verificar formatação,validação do lockfile pelo uv,Verificar formatação,failure,31,detected,,https://github.com/GregoryPierroti/tcc_ci/actions/runs/30213608617/job/89823865610,"A construção bloqueou em uv sync --frozen antes de Ruff devido ao URL de sdist inválido no lockfile."
